rank,prev_rank,name,league,off,def,spi
515,511,Polokwane City FC,15,0.72,1.55,25.77
516,512,AC Ajaccio,8,0.8,1.68,25.67
517,513,IFK Goteborg,2,1.0,1.98,25.62
518,514,Swope Park Rangers,20,1.07,2.09,25.62
519,515,MSV Duisburg,31,0.92,1.86,25.6
520,516,Nashville SC,20,0.74,1.59,25.48
521,518,Cordoba,26,0.97,1.95,25.37
522,519,Ranheim,13,0.97,1.96,25.3
523,522,F.B.C Unione Venezia,21,0.7,1.56,25.2
524,521,SpVgg Greuther Fürth,31,0.86,1.8,25.13
525,523,Sandefjord,13,1.0,2.03,25.03
526,524,Elche,26,0.76,1.67,24.95
527,525,IF Elfsborg,2,0.82,1.75,24.95
528,526,Charleston Battery,20,0.69,1.56,24.9
529,530,Southend United,35,0.73,1.64,24.55
530,532,Colorado Rapids,3,0.82,1.82,23.92
531,527,Salernitana,21,0.75,1.72,23.87
532,533,Kalmar FF,2,0.61,1.5,23.73
533,534,AmaZulu,15,0.69,1.64,23.66
534,535,Vejle,16,0.76,1.74,23.64
535,536,Indy Eleven,20,0.84,1.87,23.62
536,537,IK Sirius,2,1.02,2.15,23.61
537,538,Portland Timbers 2,20,0.92,2.0,23.54
538,540,Bury,29,0.91,1.99,23.41
539,550,Ascoli,21,0.67,1.63,23.19
540,541,De Graafschap,30,0.95,2.08,23.16
541,542,Rayo Majadahonda,26,0.7,1.69,23.09
542,543,Orléans,8,0.89,2.0,22.96
543,567,Coventry City,35,0.68,1.66,22.93
544,546,Hobro IK,16,0.71,1.72,22.91
545,547,Cosenza,21,0.67,1.66,22.79
546,549,Golden Arrows,15,0.63,1.61,22.6
547,590,Bradford City,35,0.8,1.9,22.41
548,551,Shrewsbury Town,35,0.68,1.71,22.36
549,552,Oklahoma City Energy FC,20,0.73,1.79,22.26
550,560,Carlisle United,29,0.84,1.97,22.18
551,544,Mansfield Town,29,0.6,1.59,22.16
552,553,LA Galaxy II,20,1.21,2.56,21.96
553,554,Real Monarchs SLC,20,0.88,2.06,21.93
554,548,Burton Albion,35,0.7,1.76,21.83
555,555,Highlands Park FC,15,0.71,1.79,21.82
556,556,Fresno FC,20,0.66,1.72,21.64
557,558,Chateauroux,8,0.54,1.52,21.62
558,557,Livorno,21,0.68,1.75,21.6
559,561,Motherwell,33,0.69,1.77,21.57
560,528,Gillingham,35,0.82,2.0,21.36
561,545,Blackpool,35,0.57,1.59,21.29
562,570,Bristol Rovers,35,0.6,1.65,21.15
563,563,Valenciennes,8,0.85,2.1,20.71
564,566,San Antonio FC,20,0.79,2.02,20.41
565,539,Wycombe Wanderers,35,0.79,2.04,20.05
566,568,Saint Louis FC,20,0.61,1.76,19.98
567,569,Tampa Bay Rowdies,20,0.64,1.81,19.84
568,564,Lincoln City,29,0.74,1.97,19.84
569,571,Bloem Celtic,15,0.54,1.65,19.56
570,589,Oldham Athletic,29,0.82,2.16,19.26
571,572,IK Start,13,0.74,2.04,19.26
572,531,Oxford United,35,0.72,2.01,19.01
573,573,Maritzburg Utd,15,0.37,1.38,18.88
574,574,Sochaux,8,0.62,1.88,18.42
575,575,AS Nancy Lorraine,8,0.49,1.65,18.4
576,577,Dalkurd FF,2,0.65,1.96,18.19
577,578,Padova,21,0.62,1.93,17.74
578,579,Baroka FC,15,0.41,1.54,17.71
579,576,Central Coast Mariners,11,0.78,2.22,17.68
580,596,Scunthorpe,35,0.74,2.17,17.59
581,580,Charlotte Independence,20,0.76,2.2,17.53
582,598,Plymouth Argyle,35,0.78,2.24,17.51
583,582,Chippa United,15,0.39,1.53,17.47
584,583,Free State Stars,15,0.49,1.71,17.45
585,581,Carpi,21,0.57,1.87,17.39
586,584,GFC Ajaccio,8,0.57,1.89,17.24
587,587,Forest Green Rovers,29,0.62,1.98,17.19
588,585,Gimnástic Tarragona,26,0.55,1.87,17.14
589,586,Las Vegas Lights FC,20,0.95,2.59,16.87
590,588,Reus Deportiu,26,0.42,1.64,16.76
591,593,Exeter City,29,0.57,1.96,16.5
592,591,Red Star FC 93,8,0.58,1.98,16.33
593,592,Rio Grande Valley FC Toros,20,0.51,1.86,16.29
594,594,Beziers AS,8,0.47,1.81,15.95
595,562,Accrington Stanley,35,0.54,1.98,15.57
596,595,Brommapojkarna,2,0.67,2.24,15.39
597,604,Walsall,35,0.61,2.16,15.02
598,597,Toronto FC II,20,0.88,2.66,14.88
599,600,St Mirren,33,0.59,2.14,14.75
600,565,Rochdale,35,0.71,2.37,14.68
601,599,Colorado Springs Switchbacks FC,20,0.46,1.94,14.33
602,601,Black Leopards,15,0.46,1.97,13.96
603,602,Penn FC,20,0.48,2.01,13.79
604,603,Northampton Town,29,0.55,2.17,13.77
605,614,Cheltenham Town,29,0.64,2.37,13.51
606,605,AFC Wimbledon,35,0.4,1.88,13.42
607,607,Tranmere Rovers,29,0.53,2.28,12.35
608,606,Dundee,33,0.49,2.21,12.1
609,610,Trelleborgs FF,2,0.57,2.41,11.9
610,612,Grimsby Town,29,0.38,2.03,11.7
611,611,Ottawa Fury FC,20,0.26,1.74,11.67
612,609,Stevenage,29,0.41,2.14,11.23
613,613,Hamilton Academical,33,0.47,2.33,10.75
614,608,Colchester United,29,0.3,1.96,10.71
615,615,Seattle Sounders 2,20,0.56,2.57,10.43
616,617,Atlanta United 2,20,0.5,2.53,9.74
617,616,Newport County,29,0.46,2.52,9.17
618,621,Crawley Town,29,0.41,2.41,9.16
619,619,Crewe Alexandra,29,0.26,2.15,8.38
620,622,Tulsa Roughnecks,20,0.52,2.86,7.87
621,618,Swindon Town,29,0.21,2.11,7.78
622,624,Port Vale,29,0.21,2.22,7.03
623,620,Yeovil Town,29,0.23,2.31,6.82
624,623,Morecambe,29,0.2,2.25,6.67
625,625,Macclesfield,29,0.2,2.27,6.59
626,628,Richmond Kickers,20,0.32,2.9,5.15
627,626,Cambridge United,29,0.2,2.57,5.07
628,627,Notts County,29,0.22,2.7,4.77
